"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
30,"1000000000","0111111111","1010101010","0101010101",0.064453,0.003039,0.003088,0.003088,0.0,0.0,0.0,"⎛ I ⎞⎛   C,E,G   ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
31,"1000000000","0111111111","1010101010","1010101010",0.001953,0.002068,0.002148,0.0,0.002148,0.0,0.0,"⎛ C ⎞⎛  E,G,I  ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
32,"1000000000","1111111110","1111111111","1111111111",0.458984,0.006677,0.00673,0.006652,7.8e-05,0.0,0.0,"⎛ E ⎞⎛  A,B,C,D,F,G,H,I  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
33,"1000000000","1111111110","1111111111","0111011101",0.035156,0.004649,0.004732,0.000833,0.003899,0.0,0.0,"⎛ C ⎞⎛ A,B,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
34,"1000000000","1111111110","1111111111","0101010101",0.0,0.013343,0.013518,0.013474,4.4e-05,0.0,0.0,"⎛ G ⎞⎛ A,B,C,D,E,F,H,I ⎞\n⎝ ∅ ⎠⎝     B,D,F,H     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
35,"1000000000","1111111110","1111111111","1010101010",0.001953,0.002502,0.002555,0.002555,0.0,0.0,0.0,"⎛ B ⎞⎛ A,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝    A,C,E,G,I    ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
36,"1000000000","1111111110","0111011101","1111111111",0.464844,0.004428,0.00447,0.00447,0.0,0.0,0.0,"⎛ C ⎞⎛     B,D,F,G,H     ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
37,"1000000000","1111111110","0111011101","0111011101",0.035156,0.042551,0.043313,0.043282,3.1e-05,0.0,0.0,"⎛ C ⎞⎛  B,D,F,G,H  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
38,"1000000000","1111111110","0111011101","0101010101",0.0,0.036224,0.037007,0.025237,0.01177,0.0,0.0,"⎛ G ⎞⎛ B,C,D,F,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
39,"1000000000","1111111110","0111011101","1010101010",0.001953,0.006023,0.006188,0.006188,0.0,0.0,0.0,"⎛ B ⎞⎛ C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
