"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
30,"1000000000","0111111111","1010101010","0101010101",0.064453,0.069082,0.069528,0.069528,0.0,0.0,0.0,"⎛ I ⎞⎛   C,E,G   ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
31,"1000000000","0111111111","1010101010","1010101010",0.001953,0.030502,0.03073,0.03071,2e-05,0.0,0.0,"⎛ C ⎞⎛  E,G,I  ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
32,"1000000000","1111111110","1111111111","1111111111",0.458984,18.280609,18.292643,18.184697,0.107946,0.0,0.0,"⎛ E ⎞⎛  A,B,C,D,F,G,H,I  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
33,"1000000000","1111111110","1111111111","0111011101",0.035156,2.291318,2.291419,2.267436,0.023983,0.0,0.0,"⎛ C ⎞⎛ A,B,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
34,"1000000000","1111111110","1111111111","0101010101",0.0,0.031774,0.032114,0.032112,2e-06,0.0,0.0,"⎛ G ⎞⎛ A,B,C,D,E,F,H,I ⎞\n⎝ ∅ ⎠⎝     B,D,F,H     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
35,"1000000000","1111111110","1111111111","1010101010",0.001953,1.155853,1.156146,1.14814,0.008006,0.0,0.0,"⎛ B ⎞⎛ A,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝    A,C,E,G,I    ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
36,"1000000000","1111111110","0111011101","1111111111",0.464844,2.115861,2.115505,2.091524,0.023981,0.0,0.0,"⎛ C ⎞⎛     B,D,F,G,H     ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
37,"1000000000","1111111110","0111011101","0111011101",0.035156,0.281351,0.281783,0.277759,0.004024,0.0,0.0,"⎛ C ⎞⎛  B,D,F,G,H  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
38,"1000000000","1111111110","0111011101","0101010101",0.0,0.00512,0.005265,0.005265,0.0,0.0,0.0,"⎛ G ⎞⎛ B,C,D,F,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
39,"1000000000","1111111110","0111011101","1010101010",0.001953,0.17656,0.177086,0.177071,1.5e-05,0.0,0.0,"⎛ B ⎞⎛ C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
40,"1000000000","1111111110","0101010101","1111111111",0.464844,0.546646,0.546869,0.542863,0.004006,0.0,0.0,"⎛ H ⎞⎛       B,D,F       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
41,"1000000000","1111111110","0101010101","0111011101",0.035156,0.109857,0.110432,0.110432,0.0,0.0,0.0,"⎛ H ⎞⎛    B,D,F    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
