"indice","estado","condicion","alcance","mecanismo","perdida","tiempo","particion","plataforma"
45,"1000000000","1111111110","1010101010","0111011101",0.004983,0.0635,"⎛ I ⎞⎛   A,C,E,G   ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
46,"1000000000","1111111110","1010101010","0101010101",0.007379,0.0512,"⎛ C ⎞⎛ A,E,G,I ⎞\n⎝ ∅ ⎠⎝ B,D,F,H ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
47,"1000000000","1111111110","1010101010","1010101010",0.027809,0.0372,"⎛ I ⎞⎛  A,C,E,G  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
48,"1010101010","1111111111","1111111111","1111111111",0.022571,0.2,"⎛ A ⎞⎛  B,C,D,E,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
49,"1010101010","1111111111","1111111111","0111011101",0.019802,0.1362,"⎛ B ⎞⎛ A,C,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H,J   ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
50,"1010101010","1111111111","1111111111","0101010101",0.009393,0.1125,"⎛ C ⎞⎛ A,B,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     B,D,F,H,J     ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
51,"1010101010","1111111111","1111111111","1010101010",0.004162,0.095,"⎛ B ⎞⎛ A,C,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     A,C,E,G,I     ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
52,"1010101010","1111111111","0111011101","1111111111",0.068768,0.1274,"⎛ D ⎞⎛     B,C,F,G,H,J     ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
53,"1010101010","1111111111","0111011101","0111011101",0.019802,0.0952,"⎛ B ⎞⎛  C,D,F,G,H,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
54,"1010101010","1111111111","0111011101","0101010101",0.009393,0.0638,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
